Product Name,Product Price,Product Rating,Ratings Count,Product ID,Product Link,Summary Sentiment,Sentiment Score,Review Summary
"Swanson, Lemon Balm, Passionflower, Skullcap Complex, 180 Capsules",$16.19,4.4/5,67,118385,https://www.iherb.com/pr/swanson-lemon-balm-passionflower-skullcap-complex-180-capsules/118385,Highly Positive,0.806525,"Great quality, size, ingredients, benefits and taste. We take 2 at night and sleep all night with positive mood when we wake up! Just try it and see, do your research first to see how it will interact with other herbs and medicines that you already take. Research each 3 of the herbs."
"Gaia Herbs, Organic Lemon Balm, 1 fl oz (30 ml)",$18.17,4.6/5,182,14275,https://www.iherb.com/pr/gaia-herbs-organic-lemon-balm-1-fl-oz-30-ml/14275,Highly Positive,0.72542,"Supports the nervous system to promote feelings of tranquility Made with only organic Lemon Balm Extract, a nervine herb. A calming favorite for anyone dealing with ongoing stress. Fast delivery was a pleasant surprise."
"Eclectic Herb, Lemon Balm Extract, 2 fl oz (60 ml)",,4.6/5,319,2921,https://www.iherb.com/pr/eclectic-herb-lemon-balm-extract-2-fl-oz-60-ml/2921,Highly Positive,0.8373950000000002,"Lemon balm is a great herb that you can truly feel the anxiolytic effect of, it is calming. Since 1969 Thiamin HCl Supports Energy Metabolism Dietary Supplement Vitamin B1 is a precursor to the active metabolite thiamin diphosphate."
"Life Extension, Enhanced Stress Relief, 30 Vegetarian Capsules",$21.00,4.6/5,452,14401,https://www.iherb.com/pr/life-extension-enhanced-stress-relief-30-vegetarian-capsules/14401,Positive,0.64428,"The supplement is high quality and the dosage is also good. Ingredients are good. Works for anyone who has elevated cortisol levels, recommended for ages 16 and above. Benefit is great for nervous system and improvement in stress response is good."
"Paradise Herbs, Lemon Balm Extract, 60 Vegetarian Capsules",$12.74,4.5/5,159,84022,https://www.iherb.com/pr/paradise-herbs-lemon-balm-extract-60-vegetarian-capsules/84022,Highly Positive,0.7854000000000001,Paradise Herbs Lemon Balm provides natural support for relaxation and stress relief. Its calming properties help soothe the mind and promote a sense of tranquility. Lemon balm is also known for its digestive and immune system benefits.
"Oregon's Wild Harvest, Lemon Balm, 90 Vegan Capsules",$16.46,4.4/5,184,42968,https://www.iherb.com/pr/oregon-s-wild-harvest-lemon-balm-90-vegan-capsules/42968,Highly Positive,0.7856500000000002,"Highly recommend. All of what you want, nothing that you don't. The only drawback is the taste that sometimes can burp back at you, but playing with what and how you take it helps with that. We've tried other brands, but the ingredients in this one seem the best."
"Planetary Herbals, Full Spectrum™ Lemon Balm, 1,000 mg, 120 Capsules (500 mg per Capsule)",,4.5/5,187,40749,https://www.iherb.com/pr/planetary-herbals-full-spectrum-lemon-balm-1-000-mg-120-capsules-500-mg-per-capsule/40749,Positive,0.5653400000000001,I take two of them a couple of hours before bed and it makes me drowsy and alleviates my insomnia! Remember to go off herbal supplements after 6 weeks to restart the potency and adaptogenic effect.
"Yogi Tea, Immune + Stress, Elderberry Lemon Balm, Caffeine Free, 16 Tea Bags, 1.12 oz (32 g)",$4.48,4.7/5,1349,102928,https://www.iherb.com/pr/yogi-tea-immune-stress-elderberry-lemon-balm-caffeine-free-16-tea-bags-1-12-oz-32-g/102928,Highly Positive,0.9190799999999999,"The quality ingredients (ashwaganda and lemon balm) are known for their inmune benefits. This tea has a wonderful lemony taste and is naturally sweet and contains no caffeine. It can be taken in the morning, during the day, or at night."
"Herb Pharm, Lemon Balm, 1 fl oz (30 ml)",$15.89,4.6/5,165,8725,https://www.iherb.com/pr/herb-pharm-lemon-balm-1-fl-oz-30-ml/8725,Highly Positive,0.7602700000000001,I use this before bed to help with sleep. It is relaxing. I also use it during the day if feeling anxious. I like the formula that contains alcohol because I think it is more absorbable. But it also comes in an alcohol free version. The dropper is easy to use.
"The Tao of Tea, Organic Herb Leaves, Lemon Balm , 2 oz (57 g)",$9.00,4.6/5,64,129382,https://www.iherb.com/pr/the-tao-of-tea-organic-herb-leaves-lemon-balm-2-oz-57-g/129382,Highly Positive,0.8542799999999998,"This product makes a delightful tisane on its own and also blends beautifully with various herbs and teas. It has a lovely mouthfeel with tasting notes of citrus, mint, honey, and a hint of earthiness. The earthy flavor isn't overpowering or reminiscent of grass or mushrooms."
"MaryRuth's, Organic Lemon Balm Leaf Liquid Extract, Alcohol Free, 1 fl oz (30 ml)",$19.95,4.6/5,19,138337,https://www.iherb.com/pr/maryruth-s-organic-lemon-balm-leaf-liquid-extract-alcohol-free-1-fl-oz-30-ml/138337,Highly Positive,0.7347842105263158,"Great lemon honey flavor and quality + organic! Works great for calming/stress support, but also good in helping cognition & memory! Much better than melatonin. Yes! This stuff helps with sleep and knocks me out for sleep."
"Oregon's Wild Harvest, Lemon Balm, 180 Vegan Capsules",,4.4/5,184,126443,https://www.iherb.com/pr/oregon-s-wild-harvest-lemon-balm-180-vegan-capsules/126443,Highly Positive,0.7785150000000003,"Lemon balm is often used for its potential to enhance sleep quality. The only drawback is the taste that sometimes can burp back at you, but playing with what and how you take it helps with that."
"Eclectic Herb, Kids Herbal Glycerite, Lemon Balm, 1 fl oz (30 ml)",$13.98,4.8/5,145,66770,https://www.iherb.com/pr/eclectic-herb-kids-herbal-glycerite-lemon-balm-1-fl-oz-30-ml/66770,Highly Positive,0.7619950000000001,Eclectic Herb has been my favorite herb brand for the last 25 yrs because of their high quality and pure organic ingredients. Just a little bit of alcohol free tincture under the tongue goes a long way and acts fast. Plus lemon balm tastes delicious and anti viral!
"New Chapter, Lemon Balm Force, 30 Vegetarian Capsules",$19.97,4.8/5,16,70514,https://www.iherb.com/pr/new-chapter-lemon-balm-force-30-vegetarian-capsules/70514,Highly Positive,0.72399375,"Lemon balm is one of my go to herbs and I use it frequently in tincture and tea form. New Chapter is a good brand, and the pill is easy to swallow. The package is well wrapped. It is possible to use it daily."
"Aura Cacia, Pure Essential Oil in Jojoba Oil, Lemon Balm, 0.5 fl oz (15 ml)",$11.68,4.6/5,321,42047,https://www.iherb.com/pr/aura-cacia-pure-essential-oil-in-jojoba-oil-lemon-balm-0-5-fl-oz-15-ml/42047,Highly Positive,0.815175,Aura Cacia's Lemon Balm in Jojoba Oil has been a delightful discovery. The combination of lemon balm with jojoba oil creates a wonderfully aromatic and soothing experience. The 0.5 fl oz (15 ml) bottle is conveniently sized for travel and lasts a long time.
"ProHealth Longevity, Valerian Extract With Lemon Balm, 60 Capsules",$12.49,4.6/5,10,142525,https://www.iherb.com/pr/prohealth-longevity-valerian-extract-with-lemon-balm-60-capsules/142525,Positive,0.36175999999999997,"I take valerian roots and lemon balm together to help me sleep. Remembering helps. Take it for a period of time (one to two months), ignore whether you can sleep or not, just go to bed on time."
"Planetary Herbals, Full Spectrum™ Lemon Balm, 1,000 mg, 60 Capsules (500 mg per Capsule)",,,0,144868,https://www.iherb.com/pr/planetary-herbals-full-spectrum-lemon-balm-1-000-mg-60-capsules-500-mg-per-capsule/144868,Mixed,-0.296,"No Reviews Found No Reviews Found. No Reviews found. No reviews found. no reviews found, no reviews Found. no Reviews found,no reviews found,. no reviews discovered, no review found."
"Oregon's Wild Harvest, Biodynamic, Lemon Balm, Calm, 1 fl oz (30 ml)",,4.5/5,21,126442,https://www.iherb.com/pr/oregon-s-wild-harvest-biodynamic-lemon-balm-calm-1-fl-oz-30-ml/126442,Highly Positive,0.747295,The quality of this brand is awesome. You can mix a little bit of dropper in water to take internally. It also mixes well with and lysine ointment for sores. You have to mix it with some thing for your skin or it will burn Good product.
"Traditional Medicinals, Organic Nighty Night Extra, Lemon Balm & Valerian, Caffeine Free, 16 Wrapped Tea Bags, 0.85 oz (24 g)",$6.49,4.4/5,5591,63379,https://www.iherb.com/pr/traditional-medicinals-organic-nighty-night-extra-lemon-balm-valerian-caffeine-free-16-wrapped-tea-bags-0-85-oz-24-g/63379,Highly Positive,0.9385749999999999,"Organic Nighty Night Extra Herbal Tea is designed to promote relaxation and support a restful night's sleep. Many users report that the tea effectively helps them unwind and fall asleep faster, thanks to its blend of calming herbs like chamomile and valerian root."
"Traditional Medicinals, Nighty Night Extra®, Organic Lemon Balm & Valerian, Caffeine Free, 48 Wrapped Tea Bags, 2.53 oz (72 g)",$15.29,4.4/5,5591,145031,https://www.iherb.com/pr/traditional-medicinals-nighty-night-extra-organic-lemon-balm-valerian-caffeine-free-48-wrapped-tea-bags-2-53-oz-72-g/145031,Highly Positive,0.9385749999999999,"Organic Nighty Night Extra Herbal Tea is designed to promote relaxation and support a restful night's sleep. Many users report that the tea effectively helps them unwind and fall asleep faster, thanks to its blend of calming herbs like chamomile and valerian root."
"Teeccino, Prebiotic Herbal Coffee, Mango Lemon Balm, Light Roast, Caffeine Free, 10 oz (284 g)",,4.5/5,13,125404,https://www.iherb.com/pr/teeccino-prebiotic-herbal-coffee-mango-lemon-balm-light-roast-caffeine-free-10-oz-284-g/125404,Positive,0.5217076923076923,"The taste is incredible. Convenient to use. The quality and ingredients are exquisite. There is no mango taste or aroma. The smell is great, but I didn't really like the taste. I prefer the nutty flavor."
"Teeccino, Organic Prebiotic Herbal Tea, Mango Lemon Balm, Caffeine Free, 10 Tea Bags, 2.12 oz (60 g)",,4.4/5,24,125140,https://www.iherb.com/pr/teeccino-organic-prebiotic-herbal-tea-mango-lemon-balm-caffeine-free-10-tea-bags-2-12-oz-60-g/125140,Positive,0.6127750000000002,"Tecccino Mango Lemon Balm is a pleasant, robust and slightly lemon flavored tea. Composition only included pure beef gelatin that provides high quality collagen. Great caffeine tea for night time as a wind down hot drink."
"Natural Factors, Stress-Relax, Mind Retreat, 60 Vegetarian Capsules",$20.97,4.6/5,145,73693,https://www.iherb.com/pr/natural-factors-stress-relax-mind-retreat-60-vegetarian-capsules/73693,Highly Positive,0.7174050000000002,"I can already tell that it's helping... even when I wake up in the middle of the night, I can fall asleep a lot faster than before. Good product with quality ingredients from a good company. Also an excellent price on iHerb helps to quiet my mind whenever needed without making me sleepy."
"Badger, Herbal Lip Balm, Tea Tree, 0.15 oz (4.2 g)",$3.79,4.7/5,1213,63512,https://www.iherb.com/pr/badger-herbal-lip-balm-tea-tree-0-15-oz-4-2-g/63512,Positive,0.6879650000000002,"This balm is amazing! It is very moisturizing and healing. I apply this before bed, it leaves my lips soft, and my skin feels hydrated. It has improved my severely chapped lips. The scent is a combo of eucalyptus & rosemary, pleasant but eventually fades slightly. I slso noticed it helps if you have deep lines on your lips. And the price is great, I highly recommend this product."
"Ricola, Oral Anesthetic, Sugar Free, Lemon Mint, 19 Wrapped Drops",$5.70,4.8/5,55,132484,https://www.iherb.com/pr/ricola-oral-anesthetic-sugar-free-lemon-mint-19-wrapped-drops/132484,Highly Positive,0.75517,"Ricolas brand never let down as a great option to relieve cough. I love the sugar free option, it always taste sweeter than the original version. They melt in my mouth fairly quickly so I need to use quite a few during the day when I have a cold."
"OLLY, Sleep, Strawberry, 30 Tablets",$9.99,4.8/5,40,125448,https://www.iherb.com/pr/olly-sleep-strawberry-30-tablets/125448,Positive,0.6454249999999999,One of the only types of sleep aids that works for me. Been using olly for around 10 year now and I love it out of all the brands I ve tried. Helps me go to sleep more than it helps me stay asleep.
"Quantum Health, Sleep, Melatonin, 30 Capsules",$16.50,4.4/5,5,130039,https://www.iherb.com/pr/quantum-health-sleep-melatonin-30-capsules/130039,Positive,0.46368,"Prompt delivery. Makes someone sleep continuously for about three hours. Slept like a baby all night, sleep quality improved significantly and a funny price! Comes in a size of 30 capsules. Excellent, high quality. Ingredients are also good. Size is normal. Taste is neutral."
"Natural Stacks, Apigenin+, 120 Vegan Capsules",$20.65,4/5,2,144948,https://www.iherb.com/pr/natural-stacks-apigenin-120-vegan-capsules/144948,Highly Positive,0.7202999999999999,"I was taking other apigenin, but this was on sale so I bought it. The capsules are small for a foreign product and easy to swallow. The product is of high quality, very beneficial for health and energy. Its taste is palatable and acceptable."
"Quantum Health, Sleep, Extra Strength Melatonin, 30 Capsules",,5/5,2,130040,https://www.iherb.com/pr/quantum-health-sleep-extra-strength-melatonin-30-capsules/130040,Highly Positive,0.9118999999999999,"The drug is of excellent quality. All ingredients are working. The capsule size is medium. The taste is normal. The benefits are clearly noticeable, sleep has become sweeter. The dosage is on point."
"Nature's Truth, Stress Support + GABA, L-Theanine, Natural Lemon & Strawberry, 48 Gummies",$14.90,4.7/5,175,115155,https://www.iherb.com/pr/nature-s-truth-stress-support-gaba-l-theanine-natural-lemon-strawberry-48-gummies/115155,Highly Positive,0.739335,"Natural ingredients make it a gentle and effective way to ease tension. I've had severe insomnia for 5 years and L Theanine seems to be the most consistently reliable way to make me sleepy when nothing else is working, without leaving me groggy the next day."
"M3 Naturals, Lavender Massage Oil, 8 fl oz (240 ml)",$24.99,4.2/5,8,141633,https://www.iherb.com/pr/m3-naturals-lavender-massage-oil-8-fl-oz-240-ml/141633,Positive,0.611275,Quality is very good for makeup Ingredient good Taste yummy Use loved it to use every day Size very good Package good Snack very good Composition Eat Beneficial Diet good Serving Care very good Smell good Scent Routine daily Personal Feel good Frequency Benefit good Age good for all Color very nice Coverage loved it Texture very nice Concern goood Essential oil nice Sensitive no Moisturizer good Nourishment Good scent and size and quality I dont know if i will purchase again? good deal n delivery turn around time was ok.
"Life Extension, Herbal Sleep PM, 30 Vegetarian Capsules",$18.00,4.4/5,604,96493,https://www.iherb.com/pr/life-extension-herbal-sleep-pm-30-vegetarian-capsules/96493,Positive,0.611495,"Life Extension Herbal Sleep PM has been a fantastic addition to my nighttime routine. It contains a blend of natural herbs like lemon balm and chamomile, known for their calming and sleep-inducing properties. The formula does not contain any melatonin."
"Eco Lips, Bee Free, Vegan Lip Balm, Lemon-Lime, 0.15 oz (4.25 g)",$2.92,4.7/5,46,59126,https://www.iherb.com/pr/eco-lips-bee-free-vegan-lip-balm-lemon-lime-0-15-oz-4-25-g/59126,Highly Positive,0.741935,"Eco Lips lip balm is organic and vegan. Ingredients: Natural, no beeswax. Use: Easy to use, not sticky. Benefit: Soft and glowing lips. Size: Small, but big enough, lasts quite long. SPF: No."
"Unisom, Kids Simple Slumbers, Age 4+, Grape, 30 Gummies",$6.10,5/5,1,135840,https://www.iherb.com/pr/unisom-kids-simple-slumbers-age-4-grape-30-gummies/135840,Highly Positive,0.947,"Movement is life and health, they said already in ancient times. To maintain health, movement is necessary. In the century of technological development, our motor activity has decreased to a minimum. The only way out is the gym and active recreation."
"NeuroGum, NeuroMints, Sleep & Recharge, Mixed Berry, 6 Packs, 12 Meltaway Mints Each",$25.00,5/5,5,139458,https://www.iherb.com/pr/neurogum-neuromints-sleep-recharge-mixed-berry-6-packs-12-meltaway-mints-each/139458,Highly Positive,0.77718,"I don't take one every night. Just when i feel like im going to have trouble sleeping or ive had caffeine too late in the day, i ll take one before i brush my teeth. By the time im ready for bed i already feel more sleepy and then i end up having a deep sleep while also waking up naturally on time."
"OLLY, Sleep, Extra Strength, Strawberry, 30 Tablets",$10.99,4.7/5,43,125449,https://www.iherb.com/pr/olly-sleep-extra-strength-strawberry-30-tablets/125449,Positive,0.576605,"I love the strawberry flavor. It ll get you to sleep faster even if you fight it. And even if i wake up at 2 or 3 AM because of anxieties or stress, it will still make you go back to sleep without difficulties. No grogginess felt when I wake up in the morning. Only freshness! Thank you iHerb!"
"LifeSeasons, Rest-ZZZ, Melatonin-Free Sleep Support, 60 Veg Capsules",$26.34,4.6/5,23,128567,https://www.iherb.com/pr/lifeseasons-rest-zzz-melatonin-free-sleep-support-60-veg-capsules/128567,Highly Positive,0.7122050000000001,"LifeSeasons Rest-ZZZ provides 60 Melatonin-Free Veg Capsules for natural sleep support. Crafted with a blend of herbs and nutrients, it promotes relaxation and restful sleep without melatonin."
"MaryRuth's, Sleep Gummies, Passion Fruit Jasmine Tea, 60 Gummies",$19.95,3.9/5,7,138350,https://www.iherb.com/pr/maryruth-s-sleep-gummies-passion-fruit-jasmine-tea-60-gummies/138350,Positive,0.5028571428571428,"The taste is a little sickly but you can drink it calmly. It's not like a gummy candy, but more like agar jelly. It has a red wine, grape raspberry scent. If you take it 30 minutes before bedtime, it makes you feel sleepy."
"Zahler, Mantra Labs, Rest, Lemon Chamomile, 4.8 oz (135 g)",$32.47,5/5,48,142876,https://www.iherb.com/pr/zahler-mantra-labs-rest-lemon-chamomile-4-8-oz-135-g/142876,Highly Positive,0.8601500000000002,The Mantra Rest is an absolutely fantastic product I added to my nighttime routine when I feel my brain isn't calmed down enough to fall asleep for the night. The lemon taste is pleasant (mild aftertaste) and the powder mixes easily with water. One small tub has 30 servings so it will last you for quite a while.
"RAPIDFIRE, Chill Tea, Ashwagandha, Vanilla, 14 Pyramid Tea Sachets, 0.87 oz (24.64 g)",$12.99,4.5/5,20,131329,https://www.iherb.com/pr/rapidfire-chill-tea-ashwagandha-vanilla-14-pyramid-tea-sachets-0-87-oz-24-64-g/131329,Highly Positive,0.8008899999999999,"Chill Tea Ashwagandha Vanilla blend has quickly become one of my favorite evening rituals. Has a smooth and creamy vanilla flavor which perfectly complements the earthy undertones of ashwag andha. The sweetness is subtle, making it a calming and comforting drink without being overpowering."
"Quantum Health, Melatonin, Sleep + Immune, 30 Capsules",,4.5/5,2,130041,https://www.iherb.com/pr/quantum-health-melatonin-sleep-immune-30-capsules/130041,Positive,0.3791,"For those who have sleep problems, take this product. It helps you fall asleep quickly because it compensates for the deficiency of the sleep hormone melatonin. It contains ingredients that help establish a sleep rhythm and boost your immune system!"
"Quantum Health, Extra Strength, Melatonin, Sleep + Immune, 30 Capsules",,5/5,1,130042,https://www.iherb.com/pr/quantum-health-extra-strength-melatonin-sleep-immune-30-capsules/130042,Highly Positive,0.9704,Quantum Health Extra Strength Melatonin is the best answer. The size is excellent and the quality is great. It doesn't taste bad and the dosage is quite fair. Highly recommended!
"Eco Lips, Medicinal Lip Balm, Tea Tree, 0.15 oz (4.25 g)",$4.25,4.7/5,11,59138,https://www.iherb.com/pr/eco-lips-medicinal-lip-balm-tea-tree-0-15-oz-4-25-g/59138,Positive,0.6220636363636364,"My lips are smoother and no cold sores in sight. Bought another tube for my bedroom night stand to use before sleep. Nice smell, good quality,benefits are excellent. Will repurchase. Suitable for any age."
"T-RQ, Adult Gummy, Stress, Raspberry Sweet Tea, 60 Gummies",$11.10,4.4/5,137,116018,https://www.iherb.com/pr/t-rq-adult-gummy-stress-raspberry-sweet-tea-60-gummies/116018,Positive,0.62518,"I've noticed a significant calming effect after regular use, which helps me manage daily stress much better. The size and dosage of the gummies are perfect for me, making it easy to incorporate them into my routine."
"OLLY, Goodbye Stress, Berry Verbena , 60 Gummies",$17.99,4.8/5,116,119189,https://www.iherb.com/pr/olly-goodbye-stress-berry-verbena-60-gummies/119189,Highly Positive,0.87706,"I eat these at night when I get a bit anxious, and even during the day when I am expecting a meeting that I might be nervous in. Tastes good, not the best of the Olly variety but better than other brands. The quality is great and I like the calming ingredients."
"OLLY, Goodbye Stress, Berry Verbena, 42 Gummies",$12.99,4.8/5,116,119174,https://www.iherb.com/pr/olly-goodbye-stress-berry-verbena-42-gummies/119174,Highly Positive,0.87706,"I eat these at night when I get a bit anxious, and even during the day when I am expecting a meeting that I might be nervous in. Tastes good, not the best of the Olly variety but better than other brands. The quality is great and I like the calming ingredients."
"Flora, Sleep-Essence, 17 fl oz (500 ml)",$18.28,4.1/5,14,56485,https://www.iherb.com/pr/flora-sleep-essence-17-fl-oz-500-ml/56485,Positive,0.6487642857142858,"Flora Sleep-Essence is a calming herbal blend designed to promote restful sleep. Contains quality ingredients with low risk of interaction or side effects and tastes like a slightly sweet, fruity floral juice. Would be great to mix into a nighttime sleep mocktail."
"Real Mushrooms, RealRest™, Mushrooms + Herbs, 60 Capsules",$34.95,4.6/5,11,120536,https://www.iherb.com/pr/real-mushrooms-realrest-mushrooms-herbs-60-capsules/120536,Positive,0.5163454545454546,"RealRest Mushroom + Herbs has been a game-changer for my 80-year-old grandmother. The capsules are quite large, which can be a bit difficult for older folks to swallow. I usually don't get enough hours of sleep during work weeks due to my job. I've found taking this before bed I definitely feel like I've had a better sleep."
"Secrets of Tea, Organic Cold Be Gone Tea, Caffeine Free, 20 Tea Bags, 1.41 oz (40 g)",$9.78,4.3/5,3,132800,https://www.iherb.com/pr/secrets-of-tea-organic-cold-be-gone-tea-caffeine-free-20-tea-bags-1-41-oz-40-g/132800,Positive,0.6549,"When you have a cold and it's not enough to take medicine, if you drink a cup, your body will feel warm and relieved. Tastes like for lovers of herbal drinks, tea bags are convenient to use. Good composition. Convenient packaging. I hope they are useful."
"OLLY, Kids Chillax, Sunny Sherbet, 50 Gummies",$13.99,4.8/5,50,119165,https://www.iherb.com/pr/olly-kids-chillax-sunny-sherbet-50-gummies/119165,Highly Positive,0.7323850000000001,I give my daughter one at night to help with sleep and one each morning for anxiety and focus at school. She says the taste is good. And asks for them at night. Says they help her to fall asleep more easily. I know personally l-Theanine works great for my own anxiety. So I can only imagine it works well for kids too.
"Traditional Medicinals, Herbal Tea, Organic Chamomile & Lavender, Caffeine Free, 48 Wrapped Tea Bags, 2.53 oz (72 g)",$15.29,4.3/5,7,145033,https://www.iherb.com/pr/traditional-medicinals-herbal-tea-organic-chamomile-lavender-caffeine-free-48-wrapped-tea-bags-2-53-oz-72-g/145033,Highly Positive,0.7591428571428571,Love the combination of chamomile and lavender and the soothing taste of the tea. The individually wrapped teabags are also very convenient if you wish to bring one or two when out and about. Have purchased mutliple times now. consistent quality and tastes great.
"Eco Lips, Lip Food, Nourish, Nutrient-Dense Organic Lip Balm, Lemon, 0.15 oz (4.25 g)",$2.92,4.8/5,34,86157,https://www.iherb.com/pr/eco-lips-lip-food-nourish-nutrient-dense-organic-lip-balm-lemon-0-15-oz-4-25-g/86157,Highly Positive,0.7796150000000001,"This lip balm works better than the regular version of this flavor! Feels great on the lips and smells great! No harsh ingredients or chemicals! High quality ingredients, love the design of the packaging, I give this 10/10 overall. Plus not $1M as so many organic lip balms in stores seem to be! Reasonably priced! Perfect."
"Ricola, Oral Anesthetic, Honey Lemon Echinacea , 19 Wrapped Drops",$5.70,4.8/5,1767,67983,https://www.iherb.com/pr/ricola-oral-anesthetic-honey-lemon-echinacea-19-wrapped-drops/67983,Highly Positive,0.76131,"Ricola's Throat Drops not only taste delicious with their soothing honey and lemon flavor, but they also provide much-needed relief for my throat. The Echinacea in them also is a great immune boost to help ward off colds and keep your throat comfortable during a cold."
"OLLY, Plant Powered Focus, 30 Capsules",$19.99,5/5,9,132433,https://www.iherb.com/pr/olly-plant-powered-focus-30-capsules/132433,Positive,0.6029333333333333,"This product helps you to focus. It s an easy to swallow 1 a day pill. The taste is pure, the quality is guaranteed, and the packaging is simple and environmentally friendly. It will be repurchased if necessary and recommended to consumers who like healthy products."
"Nature's Way, Sambucus, Nighttime Syrup with Melatonin, Elderberry, 4 fl oz (120 ml)",,4.8/5,4,63371,https://www.iherb.com/pr/nature-s-way-sambucus-nighttime-syrup-with-melatonin-elderberry-4-fl-oz-120-ml/63371,Highly Positive,0.721125,Tasty. I love the elderflower products of this brand. Melatonin is good enough for sleeping. It is good to eat when you feel uneasy. I will buy it next time and order it again.
